"year","month","intent","police","sex","age","race","hispanic","place","education"
2020,"01","Suicide",0,"M",64,"White",100,"Home","BA+"
2020,"01","Suicide",0,"F",39,"White",100,"Home","Some college"
2020,"01","Suicide",0,"M",20,"Native American/Native Alaskan",100,"Home","HS/GED"
2020,"01","Suicide",0,"F",65,"White",100,"Home","HS/GED"
2020,"01","Suicide",0,"M",31,"Hispanic",210,"Home","Less than HS"
2020,"01","Suicide",0,"M",30,"White",100,"Home","BA+"
2020,"01","Homicide",1,"M",59,"White",100,NA,"HS/GED"
2020,"01","Suicide",0,"M",24,"Native American/Native Alaskan",100,"Other specified","HS/GED"
2020,"01","Suicide",0,"M",80,"White",100,"Home","BA+"
2020,"01","Suicide",0,"M",77,"White",100,"Home","HS/GED"
2020,"01","Suicide",0,"M",19,"Native American/Native Alaskan",100,"Home","Less than HS"
2020,"01","Homicide",1,"M",26,"White",100,NA,"Some college"
2020,"01","Homicide",1,"M",32,"Native American/Native Alaskan",100,NA,"HS/GED"
2020,"01","Suicide",0,"M",79,"White",100,"Home","BA+"
2020,"01","Suicide",0,"F",25,"Native American/Native Alaskan",100,"Home","HS/GED"
2020,"02","Suicide",0,"M",57,"White",100,"Other specified","HS/GED"
2020,"02","Suicide",0,"M",47,"White",100,"Home","HS/GED"
2020,"02","Suicide",0,"M",26,"Native American/Native Alaskan",100,"Home","HS/GED"
2020,"02","Homicide",0,"M",16,"Asian/Pacific Islander",100,"Street","Less than HS"
2020,"02","Homicide",0,"F",51,"Native American/Native Alaskan",100,"Home","BA+"
2020,"02","Suicide",0,"M",67,"White",100,"Home","Some college"
2020,"02","Suicide",0,"M",81,"White",100,"Home","HS/GED"
2020,"01","Homicide",0,"F",70,"White",100,"Home","BA+"
2020,"02","Suicide",0,"M",32,"Black",100,"Home","Some college"
2020,"01","Homicide",0,"M",71,"White",100,"Home","BA+"
2020,"03","Suicide",0,"M",63,"White",100,"Home","HS/GED"
2020,"02","Suicide",0,"M",30,"Native American/Native Alaskan",100,"Other specified","HS/GED"
2020,"03","Suicide",0,"F",29,"Native American/Native Alaskan",100,"Home","HS/GED"
2020,"03","Suicide",0,"M",31,"White",100,"Other specified","HS/GED"
2020,"03","Homicide",0,"M",37,"White",100,"Home","HS/GED"
2020,"03","Homicide",0,"F",32,"White",100,"Home","Some college"
2020,"03","Suicide",0,"M",25,"Native American/Native Alaskan",100,"Home","HS/GED"
2020,"02","Suicide",0,"M",27,"Native American/Native Alaskan",100,"Home","HS/GED"
2020,"03","Suicide",0,"M",23,"Native American/Native Alaskan",100,"Home","Less than HS"
2020,"02","Suicide",0,"F",58,"White",100,"Home","BA+"
2020,"02","Suicide",0,"F",36,"White",100,"Home","Some college"
2020,"03","Suicide",0,"M",56,"White",100,"Home","BA+"
2020,"03","Suicide",0,"M",20,"Hispanic",282,"Home","HS/GED"
2020,"04","Homicide",0,"M",27,"Asian/Pacific Islander",100,"Other unspecified","HS/GED"
2020,"02","Undetermined",0,"M",19,"White",100,"Home","HS/GED"
2020,"04","Suicide",0,"M",29,"White",100,"Home","Some college"
2020,"04","Suicide",0,"M",50,"White",100,"Home","HS/GED"
2020,"04","Suicide",0,"M",26,"White",100,"Home","HS/GED"
2020,"03","Suicide",0,"M",47,"White",100,"Home","Some college"
2020,"04","Suicide",0,"F",55,"White",100,"Home","Some college"
2020,"04","Suicide",0,"M",68,"Native American/Native Alaskan",100,"Home","HS/GED"
2020,"04","Homicide",0,"M",50,"White",100,"Other unspecified","Less than HS"
2020,"04","Suicide",0,"M",52,"White",100,"Home","Some college"
2020,"04","Suicide",0,"M",20,"Native American/Native Alaskan",100,"Home","HS/GED"
2020,"04","Suicide",0,"M",28,"White",100,"Home","Some college"
2020,"04","Suicide",0,"M",20,"Black",100,"Residential institution","HS/GED"
2020,"04","Accidental",0,"M",17,"Native American/Native Alaskan",100,"Home","HS/GED"
2020,"05","Suicide",0,"M",45,"White",100,"Home","HS/GED"
2020,"04","Suicide",0,"M",25,"Hispanic",280,"Home","HS/GED"
2020,"04","Suicide",0,"M",29,"White",100,"Home","Some college"
2020,"05","Suicide",0,"M",24,"Hispanic",224,"Home","HS/GED"
2020,"05","Suicide",0,"M",13,"Asian/Pacific Islander",100,"Other specified","Less than HS"
2020,"05","Suicide",0,"M",59,"Native American/Native Alaskan",100,"Home","HS/GED"
